               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036977,            0.031006,           0.0076622,             0.55765,             0.63483,             0.58042,             0.31808,            0.035236,            0.017719,             0.01657,            0.006436,            0.006436,            0.006436
                  38,             0.03603,            0.031792,           0.0070916,             0.58386,             0.64597,             0.61784,             0.34676,            0.034474,            0.018007,             0.01527,            0.006337,            0.006337,            0.006337
                  39,            0.036105,            0.031748,           0.0065043,             0.57847,             0.61378,             0.59512,              0.3433,            0.035667,            0.018213,            0.019059,            0.006238,            0.006238,            0.006238
                  40,            0.036049,            0.030589,           0.0070935,             0.63911,             0.62473,              0.6049,             0.34287,            0.034588,             0.01773,            0.016746,            0.006139,            0.006139,            0.006139
                  41,             0.03617,            0.030459,           0.0074941,             0.59632,             0.63261,             0.60537,             0.33958,             0.03564,            0.018227,            0.014959,             0.00604,             0.00604,             0.00604
                  42,              0.0352,            0.030955,           0.0065327,             0.60288,             0.63441,             0.61676,             0.34256,            0.034382,            0.018452,             0.01889,            0.005941,            0.005941,            0.005941
                  43,            0.034929,            0.030549,           0.0063564,             0.57143,             0.63191,             0.59467,             0.33829,            0.035052,            0.018547,            0.019189,            0.005842,            0.005842,            0.005842
                  44,            0.035348,            0.030383,           0.0061926,             0.56366,             0.64928,             0.59527,             0.32519,            0.035572,            0.018231,             0.01698,            0.005743,            0.005743,            0.005743
                  45,            0.035712,            0.030016,           0.0062493,             0.59107,             0.66571,             0.61945,             0.34393,             0.03474,             0.01814,            0.020537,            0.005644,            0.005644,            0.005644
                  46,            0.034299,            0.030037,           0.0054548,             0.58458,             0.65009,             0.60707,             0.34379,            0.033561,              0.0181,            0.018206,            0.005545,            0.005545,            0.005545
                  47,            0.034699,            0.028798,            0.005742,             0.57622,             0.65369,             0.60288,              0.3311,            0.035125,            0.018291,             0.01755,            0.005446,            0.005446,            0.005446
                  48,            0.034623,            0.029236,           0.0057369,             0.60903,              0.6355,              0.6155,             0.34078,             0.03473,            0.018113,            0.018705,            0.005347,            0.005347,            0.005347
                  49,            0.033926,            0.029893,           0.0052681,             0.60007,             0.65148,             0.61592,               0.334,            0.035095,            0.018596,            0.014854,            0.005248,            0.005248,            0.005248
                  50,            0.033817,            0.029241,           0.0052388,             0.60696,             0.64686,             0.62323,              0.3483,            0.035148,             0.01837,            0.015033,            0.005149,            0.005149,            0.005149
                  51,             0.03334,            0.029446,           0.0048035,             0.57982,             0.65379,             0.60159,             0.34316,            0.034605,            0.018176,            0.015854,             0.00505,             0.00505,             0.00505
                  52,            0.033592,             0.02905,           0.0048182,             0.59105,             0.65144,             0.61606,             0.33815,            0.034161,            0.018536,            0.015852,            0.004951,            0.004951,            0.004951
                  53,            0.033435,            0.028394,           0.0050741,             0.57107,             0.63936,             0.60605,              0.3246,             0.03466,            0.018421,            0.017427,            0.004852,            0.004852,            0.004852
                  54,            0.033505,            0.028446,           0.0050539,             0.59395,             0.66033,             0.61164,              0.3378,            0.034435,            0.018787,            0.017205,            0.004753,            0.004753,            0.004753
                  55,            0.032587,            0.028431,           0.0046939,             0.62048,             0.62696,             0.62714,             0.34593,            0.035237,            0.018536,             0.01594,            0.004654,            0.004654,            0.004654
                  56,            0.032068,            0.028136,           0.0049946,             0.58963,             0.64354,             0.60397,             0.33566,            0.034491,             0.01888,            0.018013,            0.004555,            0.004555,            0.004555
